Fluggesellschaft	Flugnummer	Herkunft	Verspaetung	Standplatz	Passagiere	Landebahn	Transfergepaeckstuecke	Lokalpassagiere	Transferpassagiere	Terminal	Flugzeugtyp	Sitzplaetze	Auslastung
LX	139	HKG	1	E53	217	34	56	162	55	2	340	219	0.99086758
LX	181	BKK	-1	E57	227	34	152	84	143	2	340	219	1.03652968
LX	1851	SKG	9	A44	151	34	104	30	121	2	321	198	0.762626263
LX	289	JNB	4	E34	211	34	165	50	161	2	340	219	0.96347032
LX	155	BOM	0	E47	229	34	187	53	176	2	330	236	0.970338983
LX	87	YUL	5	E46	235	34	200	57	178	2	330	236	0.995762712
LX	147	DEL	-1	E23	181	34	131	57	124	2	330	236	0.766949153
LX	243	MCT	16	E42	228	34	150	80	148	2	330	236	0.966101695
LX	275	NSI	-3	E43	223	34	343	23	200	2	330	236	0.944915254
LX	2991	BSL	-3	I95	36	34	26	0	36	2	ARJ	93	0.387096774
LX	1179	STR	-1	A06	37	34	24	0	37	2	100	95	0.389473684
LX	2801	GVA	0	I91	54	34	52	1	53	2	ARJ	93	0.580645161
LH	1182	FRA	3	A10	25	34	5	15	10	2	319	130	0.192307692
TG	970	BKK	-8	E52	189	14	21	167	22	2	340	267	0.707865169
LX	1197	NUE	0	A05	34	14	17	4	30	1	ARJ	93	0.365591398
AB	8650	TXL	6	D17	143	14	7	121	22	2	320	174	0.82183908
DL	66	ATL	-18	E27	207	14	2	205	2	2	767	207	1
AB	8222	HAJ	1	H87	49	14	0	42	7	2	DH8	76	0.644736842
LX	2903	LUG	3	I92	42	14	28	1	41	1	S20	50	0.84
QR	61	DOH	31	E56	234	14	14	223	11	2	330	260	0.9
AA	64	JFK	-37	E35	202	14	50	158	44	2	767	225	0.897777778
SQ	346	SIN	-14	E67	463	14	63	402	61	2	380	471	0.983014862
LX	17	JFK	-44	E26	235	14	222	71	164	2	330	236	0.995762712
LX	1029	DUS	-8	I94	63	14	12	28	35	1	ARJ	93	0.677419355
LX	1639	MXP	0	A17	69	14	56	1	68	1	100	95	0.726315789
UA	936	IAD	-20	E20	178	14	54	127	51	2	767	183	0.972677596
LX	539	LYS	-13	I95	84	14	72	7	77	1	ARJ	93	0.903225806
C9	1680	DRS	3	I98	13	14	0	11	2	1	D38	31	0.419354839
4U	764	CGN	1	A15	89	14	0	89	0	1	319	150	0.593333333
HG	8150	VIE	7	A13	114	14	0	114	0	1	320	180	0.633333333
LX	1951	BCN	4	D05	82	14	57	19	63	1	321	198	0.414141414
LX	1585	VIE	3	A02	92	14	43	36	56	1	319	132	0.696969697
LX	565	NCE	0	I96	84	14	68	12	72	1	ARJ	93	0.903225806
LX	963	TXL	-12	A07	72	14	36	15	57	1	320	160	0.45
LX	1325	DME	-18	D03	191	14	117	53	138	2	321	198	0.964646465
LX	1843	ATH	2	A44	173	14	139	22	151	1	321	198	0.873737374
LX	257	TLV	11	E52	221	14	151	58	163	2	330	230	0.960869565
LX	771	BRU	-11	A06	134	14	110	22	112	1	320	132	1.015151515
LX	647	CDG	-11	D06	136	14	111	23	113	1	320	160	0.85
LX	819	HAJ	-13	I93	74	14	44	15	59	1	ARJ	93	0.795698925
US	710	PHL	41	E34	182	14	61	124	58	2	767	204	0.892156863
LH	1184	FRA	4	A49	112	14	4	81	31	1	733	122	0.918032787
LH	2366	MUC	4	A03	86	14	19	47	39	1	319	130	0.661538462
LH	3134	DUS	6	H85	75	14	18	29	46	1	735	112	0.669642857
LX	1735	FCO	-1	A42	80	14	67	13	67	1	320	160	0.5
LX	737	AMS	14	A09	159	14	229	13	146	1	320	160	0.99375
LH	3142	HAM	10	A57	107	14	60	32	75	1	733	122	0.87704918
LX	2805	GVA	-5	A10	138	14	117	16	122	1	320	160	0.8625
KL	1953	AMS	1	D01	75	14	10	54	21	2	100	100	0.75
LX	345	LHR	0	D08	87	14	38	44	43	2	319	160	0.54375
OK	582	PRG	8	A11	54	14	0	54	0	1	319	130	0.415384615
UA	978	EWR	-40	E19	178	14	60	121	57	2	767	183	0.972677596
OL	210	BRE	0	F71	24	14	1	10	14	1	S20	50	0.48
OS	561	VIE	7	A04	91	14	10	62	29	1	320	174	0.522988506
CF	43	GOT	11	F72	32	14	0	32	0	1	ERJ	49	0.653061224
SK	605	ARN	3	A08	79	14	44	33	46	1	736	120	0.658333333
AF	5100	CDG	-12	B3A	69	14	0	51	18	2	ARJ	95	0.726315789
JP	364	LJU	-6	I90	25	14	12	10	15	1	CR2	48	0.520833333
FB	491	SOF	-5	E58	58	14	0	57	1	2	146	88	0.659090909
LX	1165	STR	-10	A15	68	14	54	1	67	1	ARJ	93	0.731182796
LX	463	LCY	-8	I97	70	14	13	44	26	2	ARJ	93	0.752688172
LZ	561	TIA	-7	E42	43	14	0	43	0	2	320	180	0.238888889
MA	564	BUD	9	H87	47	14	8	41	6	2	DH8	76	0.618421053
VLG	6246	BCN	4	A05	60	14	0	60	0	1	320	180	0.333333333
OU	462	SPU	9	H86	41	14	32	8	33	2	DH8	76	0.539473684
LH	1186	FRA	36	A06	91	14	4	73	18	1	321	130	0.7
AY	857	HEL	-1	A07	107	14	9	96	11	1	319	123	0.869918699
JA	306	SJJ	15	I95	22	14	4	18	4	2	ATR	66	0.333333333
SK	601	CPH	-7	A02	133	14	73	44	89	1	319	141	0.943262411
TK	1907	IST	16	E46	115	14	8	105	10	2	321	159	0.72327044
BA	710	LHR	-10	E62	82	14	0	55	27	2	319	132	0.621212121
EZY	5113	LGW	-6	E47	125	14	0	125	0	2	319	156	0.801282051
LX	1069	FRA	-4	I91	62	14	21	29	33	1	ARJ	93	0.666666667
AB	3527	PMI	95	A42	156	14	0	153	3	1	321	174	0.896551724
AB	8118	DUS	-3	D14	131	14	0	111	20	2	319	150	0.873333333
AB	8588	TXL	65	C51	127	14	0	110	17	2	319	150	0.846666667
AB	8682	HAM	-9	A13	136	14	37	92	44	1	320	174	0.781609195
LY	347	TLV	33	E58	103	14	37	70	33	2	738	237	0.434599156
2L	311	BRI	4	H81	48	14	23	15	33	2	100	100	0.48
LX	1101	MUC	-10	I96	82	14	29	38	44	1	ARJ	93	0.88172043
OU	460	ZAG	-9	H86	54	14	35	20	34	2	DH8	76	0.710526316
AC	878	YYZ	-13	E47	265	14	134	146	119	2	330	265	1
LX	15	JFK	-33	E57	235	14	155	95	140	2	330	236	0.995762712
LX	1661	VCE	7	A04	89	14	83	9	80	1	100	95	0.936842105
AB	8205	PMO	21	C57	92	14	0	92	0	2	320	186	0.494623656
LX	53	BOS	-30	E52	195	14	150	66	129	2	340	219	0.890410959
LX	1679	FLR	-5	F73	93	14	108	6	87	1	ARJ	93	1
LX	975	TXL	-4	D17	107	14	39	54	53	1	320	160	0.66875
LX	9	ORD	63	E43	233	14	152	101	132	2	330	236	0.987288136
LX	65	MIA	-5	E23	212	14	136	92	120	2	340	219	0.96803653
IB	3464	MAD	11	D05	105	16	0	99	6	2	319	141	0.744680851
KL	1957	AMS	-14	D01	116	14	7	101	15	2	73W	129	0.899224806
LX	1613	MXP	0	I97	85	14	56	5	80	1	ARJ	93	0.913978495
LX	2807	GVA	5	A11	156	14	137	13	143	1	320	160	0.975
LX	787	BRU	-2	D15	149	14	120	24	125	1	320	160	0.93125
LX	725	AMS	4	D14	158	14	106	54	104	1	320	160	0.9875
LX	633	CDG	1	D03	117	14	81	22	95	1	321	160	0.73125
LX	1017	DUS	-1	A44	100	14	39	44	56	1	319	124	0.806451613
LX	1051	HAM	-3	D08	154	14	78	51	103	1	320	160	0.9625
LX	451	LCY	3	F75	78	14	15	53	25	2	ARJ	93	0.838709677
PS	471	KBP	7	E64	102	14	25	69	33	2	735	110	0.927272727
LX	1727	FCO	3	A57	74	14	40	22	52	1	320	160	0.4625
LX	2251	BUD	-1	H87	90	14	51	18	72	1	100	95	0.947368421
LX	815	HAJ	3	F72	90	14	37	37	53	1	ARJ	93	0.967741935
LX	1189	NUE	26	I92	64	14	36	12	52	1	ARJ	93	0.688172043
LX	1575	VIE	13	A03	155	14	68	67	88	1	320	160	0.96875
LX	2905	LUG	-1	I90	35	14	30	3	32	1	S20	50	0.7
AF	5102	CDG	10	B3A	73	14	2	65	8	2	ARJ	95	0.768421053
LX	1071	FRA	17	I94	88	14	32	42	46	1	ARJ	93	0.946236559
LX	421	BHX	0	H85	91	14	49	28	63	2	100	95	0.957894737
LX	19	EWR	-54	C53	56	16	27	25	31	2	738	56	1
LX	1267	CPH	-7	A02	160	14	125	22	138	1	320	198	0.808080808
LX	1413	BEG	5	D12	117	14	77	28	89	2	319	132	0.886363636
LX	1485	PRG	5	A49	104	14	73	33	71	1	320	152	0.684210526
LX	317	LHR	-7	D09	144	14	45	93	51	2	320	160	0.9
LX	1953	BCN	18	A09	185	14	137	54	131	1	321	198	0.934343434
LX	391	MAN	17	D11	146	14	92	41	105	2	320	160	0.9125
LX	751	LUX	4	I93	81	14	76	10	71	1	ARJ	93	0.870967742
TP	920	LIS	-5	A17	109	14	28	74	35	1	321	200	0.545
LX	1177	STR	13	I95	61	14	49	8	53	1	ARJ	93	0.655913978
LX	1343	WAW	10	H88	98	14	60	36	62	1	100	95	1.031578947
LX	2021	MAD	27	A15	154	14	125	34	120	1	320	160	0.9625
LX	531	LYS	11	I98	87	14	77	5	82	1	100	95	0.915789474
4T	2353	PRN	10	C51	62	14	0	62	0	2	320	174	0.356321839
KF	703	HEL	12	H86	80	14	8	70	10	1	ARJ	84	0.952380952
LX	2809	GVA	4	A10	123	14	109	6	117	1	320	160	0.76875
LX	563	NCE	20	A11	104	14	89	11	93	1	320	160	0.65
WK	30	POP	-9	E46	254	14	21	233	21	2	330	332	0.765060241
LX	1211	OSL	22	A07	161	14	102	43	118	1	320	152	1.059210526
WK	403	PRN	-14	D17	100	14	16	88	12	2	321	198	0.505050505
DL	206	JFK	8	E27	210	14	14	199	11	2	767	208	1.009615385
LX	1249	ARN	1	A05	154	14	75	67	87	1	320	160	0.9625
LX	1617	MXP	7	F74	42	14	32	2	40	1	ARJ	93	0.451612903
LX	635	CDG	18	A06	79	14	56	18	61	1	320	160	0.49375
LX	779	BRU	13	I91	87	14	66	20	67	1	ARJ	93	0.935483871
LX	977	TXL	-6	A13	83	14	51	39	44	1	319	132	0.628787879
C9	1684	DRS	5	H87	17	14	1	15	2	1	D38	31	0.548387097
CY	352	LCA	5	E62	130	14	0	130	0	2	320	156	0.833333333
LH	2368	MUC	23	A04	58	14	6	46	12	1	ARJ	82	0.707317073
SU	265	SVO	3	E64	99	14	0	99	0	2	319	116	0.853448276
LX	461	LCY	-3	B3B	74	14	5	60	14	2	ARJ	93	0.795698925
BA	712	LHR	-7	E58	91	14	1	84	7	2	320	132	0.689393939
LH	1190	FRA	15	A09	84	28	0	82	2	1	320	130	0.646153846
BD	1607	EDI	-20	I93	33	14	0	33	0	2	ERJ	49	0.673469388
SK	603	CPH	-5	A44	140	14	29	110	30	1	M80	150	0.933333333
EK	87	DXB	11	E53	350	28	25	326	24	2	777	354	0.988700565
BT	641	RIX	15	H88	69	28	0	69	0	1	DH8	76	0.907894737
KL	1959	AMS	-14	D01	96	28	1	91	5	2	EMJ	100	0.96
PC	395	SAW	4	E62	121	28	0	121	0	2	738	189	0.64021164
TP	916	OPO	-2	A42	85	28	6	77	8	1	320	162	0.524691358
EZY	1865	MAN	-14	E57	140	28	0	140	0	2	319	156	0.897435897
AB	2453	ZTH	13	A05	165	28	2	163	2	1	320	174	0.948275862
XQ	820	SAW	-21	E42	65	28	0	65	0	2	738	189	0.343915344
AB	3213	HER	11	A15	148	28	0	147	1	1	320	174	0.850574713
SI	936	GCI	-29	I90	15	28	0	15	0	2	ATR	46	0.326086957
WK	439	SKP	158	D03	88	28	22	67	21	2	320	160	0.55
AB	8120	TXL	55	D12	129	28	0	128	1	2	319	150	0.86
AF	5104	CDG	38	B3A	77	28	0	77	0	2	ARJ	95	0.810526316
LH	3144	HAM	0	A44	94	28	9	82	12	1	733	122	0.770491803
LX	401	DUB	4	D03	190	28	51	140	50	2	321	198	0.95959596
LH	1192	FRA	6	A03	102	28	1	100	2	1	733	132	0.772727273
LH	3136	DUS	9	A09	80	28	1	75	5	1	733	122	0.655737705
OU	4466	DBV	-1	H87	57	28	9	46	11	2	DH8	76	0.75
LX	2811	GVA	-6	D01	91	28	63	15	76	1	320	160	0.56875
BA	714	LHR	20	E56	109	28	1	107	2	2	319	132	0.825757576
2L	345	SUF	25	C54	3	28	0	3	0	2	100	100	0.03
LX	457	LCY	7	I92	61	28	10	50	11	2	ARJ	93	0.655913978
LX	1073	FRA	75	I94	84	28	19	63	21	1	ARJ	93	0.903225806
OL	212	BRE	1	I91	16	28	4	12	4	1	S20	50	0.32
WK	229	ACE	-36	A49	119	28	2	117	2	1	320	160	0.74375
